X,Voice,Number,Subject,Reflexive,TempLoc,Aspect,SpatAdv,Epoch,RelClause,Aux
61,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
62,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
63,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
64,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
65,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
66,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
67,Active,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,Aux
68,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
69,Active,Sg,Subj,Reflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
70,Active,Sg,NoSubj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,NoRelCl,Aux
71,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
72,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
73,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
74,Active,Sg,Subj,Reflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
75,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
76,Passive,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,NoAux
77,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
78,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
79,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
80,Active,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,NoAux
81,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
82,Active,Pl,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
83,Active,Pl,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,NoAux
84,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,NoAux
85,Active,Pl,Subj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
86,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
87,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,NoAux
88,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
89,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
90,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
91,Active,Pl,Subj,Nonreflexive,FALSE,Pf,SpatAdv,middle,RelCl,NoAux
92,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
93,Active,Pl,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
94,Active,Pl,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
95,Active,Pl,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
96,Active,Pl,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
97,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,NoAux
98,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
99,Active,Pl,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
100,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
101,Active,Pl,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
102,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
103,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
104,Active,Sg,Subj,Reflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
105,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
106,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
107,Active,Pl,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
108,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
109,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
110,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
111,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
112,Active,Pl,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
113,Active,Pl,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
114,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
115,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
116,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
117,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,NoAux
118,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,NoRelCl,Aux
119,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
120,Active,Pl,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,RelCl,NoAux
121,Active,Pl,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
122,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,NoAux
123,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
124,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
125,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
126,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,SpatAdv,middle,RelCl,Aux
127,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
128,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,RelCl,Aux
129,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
130,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,RelCl,Aux
131,Passive,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
132,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
133,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
134,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
135,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
136,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
137,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
138,Active,Sg,Subj,Nonreflexive,FALSE,Impf,SpatAdv,middle,RelCl,NoAux
139,Active,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,middle,RelCl,NoAux
140,Passive,Sg,NoSubj,Nonreflexive,FALSE,Impf,SpatAdv,middle,RelCl,Aux
141,Passive,Sg,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,RelCl,Aux
142,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
143,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
144,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
145,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,NoAux
146,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,NoAux
147,Active,Pl,Subj,Reflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,Aux
148,Active,Pl,Subj,Reflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,Aux
149,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
150,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
151,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
152,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,SpatAdv,middle,RelCl,Aux
153,Active,Pl,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
154,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,RelCl,Aux
155,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
156,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
157,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,NoRelCl,Aux
158,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
159,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
160,Active,Sg,Subj,Reflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
161,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
162,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
163,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
