X,CONSTRUCTION,VERB,REDUCED,PARTICIPLE
276,theme,po,no,no
277,theme,po,no,no
278,theme,po,no,no
279,theme,po,no,no
280,theme,po,no,no
281,theme,po,no,no
282,theme,po,no,no
283,theme,po,no,no
284,theme,po,no,no
285,theme,po,no,no
286,theme,po,no,no
287,theme,po,no,no
288,theme,po,no,no
289,theme,po,no,no
290,theme,po,no,no
291,theme,po,no,no
292,theme,po,no,no
293,theme,po,no,no
294,theme,po,no,no
295,theme,po,no,no
296,theme,po,no,no
297,theme,po,no,no
298,theme,po,no,no
299,theme,po,no,no
300,theme,po,no,no
301,theme,po,no,no
302,theme,po,no,no
303,theme,po,no,no
304,theme,po,no,no
305,theme,po,no,no
306,theme,po,no,no
307,theme,po,no,no
308,theme,po,no,no
309,theme,po,no,no
310,theme,po,no,no
311,theme,po,no,no
312,theme,po,no,no
313,theme,po,no,no
314,theme,po,no,no
315,theme,po,no,no
316,theme,po,no,no
317,theme,po,no,no
318,theme,po,no,no
319,theme,po,no,no
320,theme,po,no,no
321,theme,po,no,no
322,theme,po,no,no
323,theme,po,no,no
324,theme,po,no,no
325,theme,po,no,no
326,theme,po,no,no
327,theme,po,no,no
328,theme,po,no,no
329,theme,po,no,no
330,theme,po,no,no
331,theme,po,no,no
332,theme,po,no,no
333,theme,po,no,no
334,theme,po,no,no
335,theme,po,no,no
336,theme,po,no,no
337,theme,po,no,no
338,theme,po,no,no
339,theme,po,no,no
340,theme,po,no,no
341,theme,po,no,no
342,theme,po,no,no
343,theme,po,no,no
344,theme,po,no,no
345,theme,po,no,no
346,theme,po,no,no
347,theme,po,no,no
348,theme,po,no,no
349,theme,po,no,no
350,theme,po,no,no
351,theme,po,no,no
352,theme,po,no,no
353,theme,po,no,no
354,theme,po,no,no
355,theme,po,no,no
356,theme,po,no,no
357,theme,po,no,no
358,theme,po,no,no
359,theme,po,no,no
360,theme,po,no,no
361,theme,po,no,no
362,theme,po,no,no
363,theme,po,no,no
364,theme,po,no,no
365,theme,po,no,no
366,theme,po,no,no
367,theme,po,no,no
368,theme,po,no,no
369,theme,po,no,no
370,theme,po,no,no
371,theme,po,no,no
372,theme,po,no,no
373,theme,po,no,no
374,theme,po,no,no
375,theme,po,no,no
376,theme,po,no,no
377,theme,po,no,no
378,theme,po,no,no
379,theme,po,no,no
380,theme,po,no,no
381,theme,po,no,no
382,theme,po,no,no
383,theme,po,no,no
384,theme,po,no,no
385,theme,po,no,no
386,theme,po,no,no
387,theme,po,no,no
388,theme,po,no,no
389,theme,po,no,no
390,theme,po,no,no
391,theme,po,no,no
392,theme,po,no,no
393,theme,po,no,no
394,theme,po,no,no
395,theme,po,no,no
396,theme,po,no,no
397,theme,po,no,no
398,theme,po,no,no
399,theme,po,no,no
400,theme,po,no,no
401,theme,po,no,no
402,theme,po,no,no
403,theme,po,no,no
404,theme,po,no,no
405,theme,po,no,no
406,theme,po,no,no
407,theme,po,no,no
408,theme,po,no,no
409,theme,po,no,no
410,theme,po,no,no
411,theme,po,no,no
412,theme,po,no,no
413,theme,po,no,no
414,theme,po,no,no
415,theme,po,no,no
416,theme,po,no,no
417,theme,po,no,no
418,theme,po,no,no
419,theme,po,no,no
420,theme,po,no,no
421,theme,po,no,no
422,theme,po,no,no
423,theme,po,no,no
424,theme,po,no,no
425,theme,po,no,no
426,theme,po,no,no
427,theme,po,no,no
428,theme,po,no,no
429,theme,po,no,no
430,theme,po,no,no
431,theme,po,no,no
432,theme,po,no,no
433,theme,po,no,no
434,theme,po,no,no
435,theme,po,no,no
436,theme,zero,yes,no
437,theme,zero,yes,no
438,theme,zero,yes,no
439,theme,zero,yes,no
440,theme,zero,yes,no
441,theme,zero,yes,no
442,theme,zero,yes,no
443,theme,zero,yes,no
444,theme,zero,yes,no
445,theme,zero,yes,no
446,theme,zero,yes,no
447,theme,zero,yes,no
448,theme,zero,yes,no
449,theme,zero,yes,no
450,theme,zero,yes,no
451,theme,zero,yes,no
452,theme,zero,yes,no
453,theme,zero,yes,no
454,theme,zero,yes,no
455,theme,zero,yes,no
456,theme,zero,yes,no
457,theme,zero,yes,no
458,theme,zero,yes,no
459,theme,zero,yes,no
460,theme,zero,yes,no
461,theme,zero,yes,no
462,theme,zero,yes,no
463,theme,zero,yes,no
464,theme,zero,yes,no
465,theme,zero,yes,no
466,theme,zero,yes,no
467,theme,zero,yes,no
468,theme,zero,yes,no
469,theme,zero,yes,no
470,theme,zero,yes,no
471,theme,zero,yes,no
472,theme,zero,yes,no
473,theme,zero,yes,no
474,theme,zero,yes,no
475,theme,zero,yes,no
476,theme,zero,yes,no
477,theme,zero,yes,no
478,theme,zero,yes,no
479,theme,zero,yes,no
480,theme,zero,yes,no
481,theme,zero,yes,no
482,theme,zero,yes,no
483,theme,zero,yes,no
484,theme,zero,yes,no
485,theme,zero,yes,no
486,theme,zero,yes,no
487,theme,zero,yes,no
488,theme,zero,yes,no
489,theme,zero,yes,no
490,theme,zero,yes,no
491,theme,zero,yes,no
492,theme,zero,yes,no
493,theme,zero,yes,no
494,theme,zero,yes,no
495,theme,zero,yes,no
496,theme,zero,yes,no
497,theme,zero,yes,no
498,theme,zero,yes,no
499,theme,zero,yes,no
500,theme,zero,yes,no
501,theme,zero,yes,no
502,theme,zero,yes,no
503,theme,zero,yes,no
504,theme,zero,yes,no
505,theme,zero,yes,no
506,theme,zero,yes,no
507,theme,na,yes,no
508,theme,na,yes,no
509,theme,na,yes,no
510,theme,na,yes,no
511,theme,na,yes,no
512,theme,na,yes,no
513,theme,na,yes,no
514,theme,za,yes,no
515,theme,za,yes,no
516,theme,za,yes,no
517,theme,za,yes,no
518,theme,za,yes,no
519,theme,za,yes,no
520,theme,za,yes,no
521,theme,za,yes,no
522,theme,za,yes,no
523,theme,za,yes,no
524,theme,za,yes,no
525,theme,za,yes,no
526,theme,za,yes,no
527,theme,za,yes,no
528,theme,za,yes,no
529,theme,za,yes,no
530,theme,za,yes,no
531,theme,za,yes,no
532,theme,za,yes,no
533,theme,za,yes,no
534,theme,za,yes,no
535,theme,za,yes,no
536,theme,za,yes,no
537,theme,za,yes,no
538,theme,za,yes,no
539,theme,za,yes,no
540,theme,za,yes,no
541,theme,za,yes,no
542,theme,za,yes,no
543,theme,za,yes,no
544,theme,po,yes,no
545,theme,po,yes,no
546,theme,po,yes,no
547,theme,po,yes,no
548,theme,po,yes,no
549,theme,po,yes,no
550,theme,po,yes,no
551,theme,po,yes,no
552,theme,po,yes,no
553,theme,po,yes,no
554,theme,po,yes,no
555,theme,po,yes,no
556,theme,po,yes,no
557,theme,po,yes,no
558,theme,po,yes,no
559,theme,po,yes,no
560,theme,po,yes,no
561,theme,po,yes,no
562,theme,po,yes,no
563,theme,po,yes,no
564,theme,po,yes,no
565,theme,po,yes,no
566,theme,po,yes,no
567,theme,po,yes,no
568,theme,po,yes,no
569,theme,po,yes,no
570,theme,po,yes,no
571,theme,po,yes,no
572,theme,po,yes,no
573,theme,po,yes,no
574,theme,po,yes,no
575,theme,po,yes,no
576,theme,po,yes,no
577,theme,po,yes,no
578,theme,po,yes,no
579,theme,po,yes,no
580,theme,po,yes,no
581,theme,po,yes,no
582,theme,po,yes,no
583,theme,po,yes,no
584,theme,po,yes,no
585,theme,po,yes,no
586,theme,po,yes,no
587,theme,po,yes,no
588,theme,po,yes,no
589,theme,po,yes,no
590,theme,zero,no,yes
591,theme,na,no,yes
592,theme,po,no,yes
593,theme,po,no,yes
594,theme,po,no,yes
595,theme,po,no,yes
596,theme,po,no,yes
597,theme,po,no,yes
598,theme,po,no,yes
599,theme,po,no,yes
600,theme,po,no,yes
601,theme,po,no,yes
