X,Base,PrefixedVerb,ShiftTrans,Prefix,PrefixStacking,ShiftAspect,BaseFreqWrong,FreqPrefVerb,PerfectiveType,SemanticGroup,SemanticGroupFullName,OtherPrefPossible,FreqBase,SemanticGroupVery,SemanticGroupProto,Frequency,Outcomes,Cues
34,_______,__________,intr-intr,pre,notStacked,imp-imp,5372,883,not-applicable,div,divide,yes,5372,FALSE,FALSE,883,pre,notStacked_imp-imp_div_intr-intr_not-applicable
35,_____,________,tr-tr,pre,notStacked,imp-pf,5302,7279,specialized,div,divide,yes,5302,FALSE,FALSE,7279,pre,notStacked_imp-pf_div_tr-tr_specialized
36,_________,_____________,tr-tr,pre,stacked,imp-imp,7261,2,not-applicable,transf,transfer,no,7261,FALSE,TRUE,2,pre,stacked_imp-imp_transf_tr-tr_not-applicable
37,_________,____________,tr-tr,pre,stacked,pf-pf,29187,900,specialized,transf,transfer,no,29187,FALSE,TRUE,900,pre,stacked_pf-pf_transf_tr-tr_specialized
38,________,___________,tr-tr,pre,notStacked,imp-imp,9189,1,not-applicable,super,superiority,no,9189,FALSE,FALSE,1,pre,notStacked_imp-imp_super_tr-tr_not-applicable
39,________,___________,tr-tr,pre,stacked,pf-pf,8456,227,specialized,transf,transfer,yes,8456,FALSE,TRUE,227,pre,stacked_pf-pf_transf_tr-tr_specialized
40,__________,_____________,intr-intr,pre,stacked,imp-imp,490,9,not-applicable,transf,transfer,yes,490,FALSE,TRUE,9,pre,stacked_imp-imp_transf_intr-intr_not-applicable
41,________,___________,tr-tr,pre,stacked,imp-imp,1401,94,not-applicable,transf,transfer,yes,1401,FALSE,TRUE,94,pre,stacked_imp-imp_transf_tr-tr_not-applicable
42,__________,_____________,tr-intr,pre,stacked,pf-pf,27563,6,specialized,transf,transfer,no,27563,FALSE,TRUE,6,pre,stacked_pf-pf_transf_tr-intr_specialized
43,___________,______________,intr-intr,pre,stacked,imp-imp,69,214,not-applicable,transf-met,transfer metaphorical,no,69,TRUE,FALSE,214,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
44,_________,____________,tr-tr,pre,stacked,imp-imp,2096,532,not-applicable,transf-met,transfer metaphorical,no,2096,TRUE,FALSE,532,pre,stacked_imp-imp_transf-met_tr-tr_not-applicable
45,________,___________,tr-tr,pre,stacked,pf-pf,6040,1215,specialized,transf,transfer,no,6040,FALSE,TRUE,1215,pre,stacked_pf-pf_transf_tr-tr_specialized
46,______,_________,tr-tr,pre,stacked,pf-pf,25387,532,specialized,transf-met,transfer metaphorical,no,25387,TRUE,FALSE,532,pre,stacked_pf-pf_transf-met_tr-tr_specialized
47,__________,_____________,intr-intr,pre,stacked,imp-imp,2456,391,not-applicable,transf-met,transfer metaphorical,no,2456,TRUE,FALSE,391,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
48,________,___________,tr-tr,pre,stacked,imp-imp,13665,2944,not-applicable,transf-met,transfer metaphorical,no,13665,TRUE,FALSE,2944,pre,stacked_imp-imp_transf-met_tr-tr_not-applicable
49,no,___________,no-intr,pre,notStacked,no-imp,0,283,not-applicable,intrch,interchange,no,0,FALSE,FALSE,283,pre,notStacked_no-imp_intrch_no-intr_not-applicable
50,no,___________,no-intr,pre,notStacked,no-imp,0,8,not-applicable,div,divide,no,0,FALSE,FALSE,8,pre,notStacked_no-imp_div_no-intr_not-applicable
51,no,___________,no-intr,pre,notStacked,no-imp,0,8,not-applicable,intrch,interchange,no,0,FALSE,FALSE,8,pre,notStacked_no-imp_intrch_no-intr_not-applicable
52,______________,_________________,intr-intr,pre,stacked,imp-imp,7716,1,not-applicable,transf-met,transfer metaphorical,no,7716,TRUE,FALSE,1,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
53,____________,_______________,tr-tr,pre,stacked,imp-imp,8416,1,not-applicable,transf-met,transfer metaphorical,no,8416,TRUE,FALSE,1,pre,stacked_imp-imp_transf-met_tr-tr_not-applicable
54,_______,__________,tr-tr,pre,stacked,pf-pf,2780,5441,specialized,super,superiority,no,2780,FALSE,FALSE,5441,pre,stacked_pf-pf_super_tr-tr_specialized
55,___________,______________,intr-intr,pre,stacked,imp-imp,14,274,not-applicable,super,superiority,no,14,FALSE,FALSE,274,pre,stacked_imp-imp_super_intr-intr_not-applicable
56,_________,____________,tr-tr,pre,stacked,imp-imp,1639,2649,not-applicable,super,superiority,no,1639,FALSE,FALSE,2649,pre,stacked_imp-imp_super_tr-tr_not-applicable
57,__________,_____________,intr-intr,pre,stacked,imp-imp,22869,11,specialized,transf-met,transfer metaphorical,no,22869,TRUE,FALSE,11,pre,stacked_imp-imp_transf-met_intr-intr_specialized
58,__________,_____________,intr-intr,pre,stacked,pf-pf,26537,9,specialized,transf-met,transfer metaphorical,no,26537,TRUE,FALSE,9,pre,stacked_pf-pf_transf-met_intr-intr_specialized
59,______________,_________________,intr-intr,pre,stacked,imp-imp,10465,437,not-applicable,transf-met,transfer metaphorical,no,10465,TRUE,FALSE,437,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
60,____________,_______________,tr-tr,pre,stacked,imp-imp,7762,587,not-applicable,transf-met,transfer metaphorical,no,7762,TRUE,FALSE,587,pre,stacked_imp-imp_transf-met_tr-tr_not-applicable
61,____________,_______________,intr-intr,pre,stacked,pf-pf,10465,437,specialized,transf-met,transfer metaphorical,no,10465,TRUE,FALSE,437,pre,stacked_pf-pf_transf-met_intr-intr_specialized
62,__________,_____________,tr-tr,pre,stacked,pf-pf,10872,1002,specialized,transf-met,transfer metaphorical,no,10872,TRUE,FALSE,1002,pre,stacked_pf-pf_transf-met_tr-tr_specialized
63,________,___________,intr-intr,pre,stacked,imp-imp,18832,3485,not-applicable,super,superiority,no,18832,FALSE,FALSE,3485,pre,stacked_imp-imp_super_intr-intr_not-applicable
64,__ ______,____________,tr-intr,pre,stacked,imp-imp,212,1849,not-applicable,ovc-dur,overcome-duration,no,212,FALSE,FALSE,1849,pre,stacked_imp-imp_ovc-dur_tr-intr_not-applicable
65,______,_________,tr-intr,pre,notStacked,pf-pf,6162,970,specialized,ovc-dur,overcome-duration,no,6162,FALSE,FALSE,970,pre,notStacked_pf-pf_ovc-dur_tr-intr_specialized
66,________,___________,intr-intr,pre,notStacked,imp-imp,9999,19,not-applicable,transf-met,transfer metaphorical,yes,9999,TRUE,FALSE,19,pre,notStacked_imp-imp_transf-met_intr-intr_not-applicable
67,no,_________,no-intr,pre,notStacked,no-pf,0,50,specialized,transf-met,transfer metaphorical,yes,0,TRUE,FALSE,50,pre,notStacked_no-pf_transf-met_no-intr_specialized
68,_________,____________,intr-intr,pre,notStacked,imp-pf,84,226,specialized,transf-met,transfer metaphorical,no,84,TRUE,FALSE,226,pre,notStacked_imp-pf_transf-met_intr-intr_specialized
69,_______,__________,intr-tr,pre,notStacked,imp-pf,1486,425,specialized,transf-met,transfer metaphorical,no,1486,TRUE,FALSE,425,pre,notStacked_imp-pf_transf-met_intr-tr_specialized
70,________,___________,intr-intr,pre,notStacked,imp-pf,1011,79,specialized,bridge,bridge,yes,1011,FALSE,FALSE,79,pre,notStacked_imp-pf_bridge_intr-intr_specialized
71,______,_________,tr-tr,pre,notStacked,imp-pf,259,53,specialized,bridge,bridge,yes,259,FALSE,FALSE,53,pre,notStacked_imp-pf_bridge_tr-tr_specialized
72,______,_________,tr-tr,pre,notStacked,imp-pf,72,59,specialized,transf-met,transfer metaphorical,yes,72,TRUE,FALSE,59,pre,notStacked_imp-pf_transf-met_tr-tr_specialized
73,no,_________,no-tr,pre,notStacked,no-imp,0,18,not-applicable,transf-met,transfer metaphorical,yes,0,TRUE,FALSE,18,pre,notStacked_no-imp_transf-met_no-tr_not-applicable
74,_________,____________,intr-intr,pre,notStacked,imp-pf,1281,355,specialized,bridge,bridge,yes,1281,FALSE,FALSE,355,pre,notStacked_imp-pf_bridge_intr-intr_specialized
75,_______,__________,tr-tr,pre,notStacked,imp-pf,323,70,specialized,bridge,bridge,no,323,FALSE,FALSE,70,pre,notStacked_imp-pf_bridge_tr-tr_specialized
76,___________,______________,intr-intr,pre,stacked,imp-imp,2126,52,not-applicable,very,thorough,no,2126,TRUE,FALSE,52,pre,stacked_imp-imp_very_intr-intr_not-applicable
77,_________,____________,tr-tr,pre,stacked,imp-imp,10558,25,not-applicable,very,thorough,no,10558,TRUE,FALSE,25,pre,stacked_imp-imp_very_tr-tr_not-applicable
78,___________,______________,intr-intr,pre,stacked,pf-pf,3611,118,specialized,very,thorough,no,3611,TRUE,FALSE,118,pre,stacked_pf-pf_very_intr-intr_specialized
79,_________,____________,tr-tr,pre,stacked,pf-pf,14312,752,specialized,very,thorough,no,14312,TRUE,FALSE,752,pre,stacked_pf-pf_very_tr-tr_specialized
80,___________,______________,intr-intr,pre,stacked,imp-imp,904,28,not-applicable,very,thorough,no,904,TRUE,FALSE,28,pre,stacked_imp-imp_very_intr-intr_not-applicable
81,_____,________,tr-tr,pre,notStacked,imp-pf,10720,420,specialized,bridge,bridge,yes,10720,FALSE,FALSE,420,pre,notStacked_imp-pf_bridge_tr-tr_specialized
82,____________,_______________,intr-intr,pre,stacked,imp-imp,560,2643,not-applicable,transf-met,transfer metaphorical,no,560,TRUE,FALSE,2643,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
83,__________,_____________,tr-tr,pre,stacked,imp-imp,5858,4760,not-applicable,transf-met,transfer metaphorical,no,5858,TRUE,FALSE,4760,pre,stacked_imp-imp_transf-met_tr-tr_not-applicable
84,_________,____________,tr-tr,pre,stacked,pf-pf,10885,10012,specialized,transf-met,transfer metaphorical,no,10885,TRUE,FALSE,10012,pre,stacked_pf-pf_transf-met_tr-tr_specialized
85,______,_________,intr-intr,pre,notStacked,pf-pf,1575,707,specialized,transf-met,transfer metaphorical,yes,1575,TRUE,FALSE,707,pre,notStacked_pf-pf_transf-met_intr-intr_specialized
86,____,_______,tr-tr,pre,notStacked,pf-pf,213364,9255,specialized,transf-met,transfer metaphorical,yes,213364,TRUE,FALSE,9255,pre,notStacked_pf-pf_transf-met_tr-tr_specialized
87,________,___________,intr-intr,pre,notStacked,imp-imp,6969,2482,not-applicable,transf-met,transfer metaphorical,yes,6969,TRUE,FALSE,2482,pre,notStacked_imp-imp_transf-met_intr-intr_not-applicable
88,______,_________,tr-tr,pre,notStacked,imp-imp,105949,1591,not-applicable,transf-met,transfer metaphorical,yes,105949,TRUE,FALSE,1591,pre,notStacked_imp-imp_transf-met_tr-tr_not-applicable
89,________,__________,tr-tr,pre,notStacked,imp-pf,596,492,specialized,div,divide,yes,596,FALSE,FALSE,492,pre,notStacked_imp-pf_div_tr-tr_specialized
90,____,_________,no-tr,pre,notStacked,no-imp,460,7334,not-applicable,super,superiority,no,460,FALSE,FALSE,7334,pre,notStacked_no-imp_super_no-tr_not-applicable
91,________,___________,intr-intr,pre,notStacked,imp-pf,1356,1,not-applicable,super,superiority,no,1356,FALSE,FALSE,1,pre,notStacked_imp-pf_super_intr-intr_not-applicable
92,____,_________,no-tr,pre,notStacked,no-pf,460,1766,specialized,super,superiority,no,460,FALSE,FALSE,1766,pre,notStacked_no-pf_super_no-tr_specialized
93,_____________,________________,tr-tr,pre,stacked,imp-imp,234,1,not-applicable,transf,transfer,no,234,FALSE,TRUE,1,pre,stacked_imp-imp_transf_tr-tr_not-applicable
94,_________,____________,intr-intr,pre,notStacked,imp-imp,3441,8185,not-applicable,transf-met,transfer metaphorical,no,3441,TRUE,FALSE,8185,pre,notStacked_imp-imp_transf-met_intr-intr_not-applicable
95,_______,__________,tr-tr,pre,notStacked,imp-imp,1067,3520,not-applicable,transf-met,transfer metaphorical,no,1067,TRUE,FALSE,3520,pre,notStacked_imp-imp_transf-met_tr-tr_not-applicable
96,________,__________,tr-tr,pre,notStacked,imp-pf,1165,6180,specialized,transf-met,transfer metaphorical,yes,1165,TRUE,FALSE,6180,pre,notStacked_imp-pf_transf-met_tr-tr_specialized
